"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U3";"SOT-23-5";1;"AP2112K-3.3";;;
2;"D1";"LED_1206_3216Metric";1;"LTST-C150RKT";;;
3;"J3,J1";"PinHeader_1x07_P2.54mm_Vertical";2;"Conn_01x07_Pin";;;
4;"C6,C2,C1,C3";"C0402";4;"100nF";;;
5;"J2";"USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A";1;"USB_C_Receptacle_USB2.0_16P";;;
6;"R2,R5,R7,R4,R6,R1";"R0402";6;"RC0402FR-075K1L (5.1kΩ)";;;
7;"SW2,SW1";"SW_Push_SPST_NO_Alps_SKRK";2;"SKRKAGE020";;;
8;"U2";"InvenSense_QFN-24_3x3mm_P0.4mm";1;"ICM-20948";;;
9;"C4,C7";"C0402";2;"10uF";;;
10;"R3";"R0402";1;"RC0402FR-13220RL (220Ω)";;;
11;"U1";"SOT-23";1;"AP2127N-1.8";;;
12;"C5";"C0402";1;"22uF";;;
13;"U4";"ESP32-S2-MINI-1";1;"ESP32-S3-MINI-1";;;
